reg_no,name,type,valid_upto,status
INH000001234,Rakesh Sharma,Research Analyst,2027-03-31,Active
INA000005678,Priya Mehta Advisory,Investment Adviser,2026-11-30,Active
INH000009012,Sunil Kapoor Research,Research Analyst,2025-06-30,Expired
INA000003456,Anita Desai Wealth Advisors,Investment Adviser,2028-01-31,Active
INH000007788,Vikram Nair,Research Analyst,2027-09-30,Active
INA000002211,Deepak Joshi Capital,Investment Adviser,2026-05-31,Active
INH000004433,Meera Iyer Research,Research Analyst,2027-12-31,Active
INA000008899,Karan Malhotra Advisory,Investment Adviser,2026-08-31,Suspended
INH000006655,Sanjay Verma,Research Analyst,2028-04-30,Active
INA000001177,Neha Gupta Wealth,Investment Adviser,2027-02-28,Active
